"magnification","detector","image_path","tile_x","tile_y","pitch_1d_um","n_grooves","sd_grooves_um","profile_height","pitch_fft_um","fft_peak_freq","fft_snr","fft_quality","fft_peak_width_fwhm"
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y000.png",0,0,1.646248,9,0.01352,0.310739,1.707,0.0078125,166.94,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y001.png",0,1,1.642988,10,0.013773,0.31288,1.707,0.0078125,160.88,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y002.png",0,2,1.645655,10,0.015654,0.279086,1.707,0.0078125,148.54,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y003.png",0,3,1.643284,9,0.039323,0.32626,1.707,0.0078125,165.64,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y004.png",0,4,1.644766,9,0.017642,0.30615,1.707,0.0078125,166.56,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y005.png",0,5,1.644766,9,0.021086,0.321083,1.707,0.0078125,171.63,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y006.png",0,6,1.644766,9,0.03334,0.300649,1.707,0.0078125,150.57,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y007.png",0,7,1.640321,9,0.01491,0.304978,1.707,0.0078125,152.02,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y000.png",1,0,1.643284,9,0.029654,0.304582,1.707,0.0078125,150.3,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y001.png",1,1,1.646248,9,0.024144,0.300708,1.707,0.0078125,144.36,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y002.png",1,2,1.644321,10,0.018912,0.305477,1.707,0.0078125,165.91,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y003.png",1,3,1.641654,10,0.014676,0.321575,1.707,0.0078125,173.47,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y004.png",1,4,1.643284,9,0.022884,0.298883,1.707,0.0078125,158.85,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y005.png",1,5,1.637357,9,0.019755,0.317051,1.707,0.0078125,157.29,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y006.png",1,6,1.638839,9,0.024449,0.323802,1.707,0.0078125,162.79,"excellent",0.984375
1000,"SED","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y007.png",1,7,1.637357,9,0.014575,0.308923,1.707,0.0078125,157.37,"excellent",0.984375
