"magnification","image_path","tile_x","tile_y","local_pitch_um"
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y000.png",0,0,1.65069301777778
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y001.png",0,1,1.64476593333333
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y002.png",0,2,1.65069301777778
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y003.png",0,3,1.64328416222222
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y004.png",0,4,1.64476593333333
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y005.png",0,5,1.64624770444444
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y006.png",0,6,1.64476593333333
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y007.png",0,7,1.64180239111111
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y008.png",0,8,1.644321402
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y009.png",0,9,1.8453606975
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y010.png",0,10,1.63735707777778
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y011.png",0,11,1.63587530666667
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y012.png",0,12,1.63735707777778
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y013.png",0,13,1.63439353555556
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X000_Y014.png",0,14,2.10707852
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X001_Y000.png",1,0,1.65069301777778
500,"/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/SED/Grp_001_SED_X001_Y001.png",1,1,1.82998732222222
